ond,avg_daily_searches,nb_days
NTE-STO,114.0,1
BSL-SOF,113.0,1
TLS-DXB,113.0,1
PAR-SKG,113.0,1
MRS-ACE,112.0,1
PAR-RIX,111.0,1
SXB-NDR,111.0,1
PAR-AUS,111.0,1
BOD-ATH,111.0,1
MRS-MRU,111.0,1
NTE-VIE,110.0,1
PAR-AYT,110.0,1
TLS-IST,110.0,1
PAR-SPU,109.0,1
LYS-YTO,109.0,1
PAR-NUE,108.0,1
MRS-NTE,107.0,1
PAR-GZT,107.0,1
NTE-SVQ,107.0,1
MRS-ZNZ,107.0,1
BOD-KRK,106.0,1
NCE-ZRH,106.0,1
TLS-DKR,106.0,1
NTE-OUA,106.0,1
LYS-AJA,105.0,1
PAR-DZA,105.0,1
NCE-AJA,105.0,1
LYS-YVR,105.0,1
TLS-VCE,104.0,1
TLS-SXB,104.0,1
BOD-MIL,104.0,1
PAR-VIL,103.0,1
NTE-DUB,103.0,1
TLS-BUD,103.0,1
PAR-SCQ,103.0,1
LYS-IEV,102.0,1
LYS-TLS,102.0,1
BOD-TCI,102.0,1
MRS-HEL,102.0,1
BOD-FRA,102.0,1
PAR-DEN,102.0,1
PAR-HRG,101.0,1
TUF-LON,101.0,1
TLS-LAX,101.0,1
TLS-HEL,101.0,1
LYS-ORN,101.0,1
PAR-ISB,101.0,1
BOD-FDF,101.0,1
RNS-SXB,100.0,1
SXB-NCE,100.0,1
PAR-YAO,100.0,1
BOD-LED,100.0,1
PAR-LJU,100.0,1
PAR-BIO,100.0,1
PAR-KTM,100.0,1
PAR-SHA,99.0,1
BOD-TLV,99.0,1
NCE-MIL,99.0,1
NTE-BKK,98.0,1
PAR-BIQ,98.0,1
BSL-BEG,97.0,1
NTE-AJA,97.0,1
LYS-MUC,97.0,1
BSL-PAR,96.0,1
PAR-HYD,96.0,1
PAR-BGO,96.0,1
TLS-FLN,95.0,1
PAR-ALY,95.0,1
LYS-VLC,95.0,1
LYS-BIA,95.0,1
SXB-TLS,95.0,1
MRS-FAO,95.0,1
NCE-PRG,94.0,1
LYS-REK,94.0,1
MRS-FEZ,94.0,1
PAR-LWO,94.0,1
TLS-ORN,94.0,1
PAR-STR,93.0,1
LYS-LAX,93.0,1
BOD-TNG,93.0,1
TLS-MIA,93.0,1
PAR-USM,92.0,1
PAR-LYS,92.0,1
NCE-FAO,92.0,1
PAR-YVR,91.0,1
PAR-TLM,91.0,1
PAR-EVE,91.0,1
NTE-ACE,90.0,1
LYS-FSC,90.0,1
RNS-MRS,90.0,1
MRS-CPH,90.0,1
LYS-AGP,90.0,1
TLS-BSL,90.0,1
NCE-TLV,89.0,1
PAR-ANK,89.0,1
BSL-CAI,89.0,1
BSL-BER,88.0,1
TLS-TRN,87.0,1
PAR-CLT,87.0,1
TLS-VLC,87.0,1
NTE-VLC,87.0,1
NTE-IST,87.0,1
BOD-LYS,86.0,1
NTE-EDI,86.0,1
BSL-SVQ,86.0,1
LYS-PUJ,86.0,1
PAR-KIV,86.0,1
BOD-PMI,85.0,1
BOD-LPA,85.0,1
MRS-ORN,84.0,1
PAR-EAS,84.0,1
PAR-CLJ,83.0,1
LYS-SJO,83.0,1
NCE-WAW,83.0,1
NCE-MIA,83.0,1
TLS-BCN,82.0,1
BSL-TLV,82.0,1
PAR-NAS,82.0,1
BOD-RUN,82.0,1
LIL-TLS,81.0,1
NCE-OPO,81.0,1
NCE-MUC,81.0,1
PAR-NOU,81.0,1
TLS-TCI,81.0,1
LYS-BLQ,81.0,1
PAR-BOD,81.0,1
LYS-IBZ,81.0,1
MRS-BRU,80.0,1
PAR-HAH,80.0,1
PAR-ZAG,80.0,1
BIA-PAR,80.0,1
LYS-MNL,80.0,1
PAR-PDL,80.0,1
MRS-MLA,80.0,1
LYS-HER,80.0,1
PAR-BHZ,80.0,1
PAR-TBS,80.0,1
FSC-NTE,80.0,1
NTE-MAN,80.0,1
LYS-ALC,80.0,1
BES-PAR,79.0,1
PAR-BQC,79.0,1
BSL-LIS,78.0,1
BOD-TUN,78.0,1
LYS-SCL,78.0,1
LYS-MIR,78.0,1
PAR-PAS,78.0,1
MRS-PAS,78.0,1
PAR-GOT,77.0,1
BIA-LYS,77.0,1
LYS-TYO,77.0,1
PAR-MBJ,77.0,1
TLS-RUN,77.0,1
LYS-BOD,77.0,1
BIQ-LYS,77.0,1
BES-BOD,76.0,1
MRS-RNS,76.0,1
MRS-SVQ,76.0,1
TLS-ALC,76.0,1
AJA-LYS,75.0,1
PAR-LCA,75.0,1
NTE-CTA,75.0,1
NCE-IEV,75.0,1
PAR-VNO,75.0,1
TLS-NAP,75.0,1
PAR-RHO,75.0,1
NTE-FDF,75.0,1
MRS-EDI,75.0,1
NCE-TLS,75.0,1
NCE-LAS,75.0,1
PAR-JAX,74.0,1
LYS-BEY,74.0,1
BOD-YMQ,74.0,1
TLS-BER,74.0,1
PAR-SUF,74.0,1
MRS-FDF,73.0,1
PAR-NDJ,73.0,1
LYS-TCI,73.0,1
SXB-RAK,73.0,1
PAR-YYC,73.0,1
NCE-LYS,72.0,1
LYS-SAO,72.0,1
BOD-BER,72.0,1
TLS-LYS,72.0,1
SXB-AJA,71.0,1
BOD-BLQ,71.0,1
NCE-PNH,71.0,1
PAR-CCS,71.0,1
NCE-RIX,71.0,1
BSL-JCN,70.0,1
LYS-WAW,70.0,1
MRS-YMQ,70.0,1
PAR-FIH,70.0,1
MRS-SEZ,70.0,1
PGF-LIS,70.0,1
NTE-ATH,69.0,1
PAR-WRO,69.0,1
BSL-DUB,69.0,1
SXB-MRS,69.0,1
PAR-AKL,69.0,1
NCE-BOD,69.0,1
RNS-LON,69.0,1
MRS-MIL,69.0,1
LYS-SDQ,68.0,1
PAR-SFG,68.0,1
MRS-DUB,68.0,1
LYS-FDF,68.0,1
LYS-TOS,67.0,1
MRS-PMI,67.0,1
TLS-LPA,67.0,1
PAR-DTT,67.0,1
BIA-NTE,67.0,1
MRS-LPA,67.0,1
NTE-MIL,67.0,1
LYS-FUE,67.0,1
LYS-YOW,67.0,1
TLS-AJA,66.0,1
LYS-JTR,66.0,1
NTE-FAO,66.0,1
PAR-NTE,66.0,1
NTE-ALG,66.0,1
NTE-AGA,66.0,1
PAR-SID,66.0,1
BSL-RAK,66.0,1
LYS-MCT,65.0,1
BOD-MAN,65.0,1
BOD-PTY,65.0,1
LIL-MIL,65.0,1
BOD-LIL,64.0,1
TLS-MIL,64.0,1
PAR-DFW,63.0,1
MRS-BUH,63.0,1
TLS-BEY,63.0,1
LYS-CPH,63.0,1
NTE-OPO,63.0,1
BOD-CAI,63.0,1
MRS-BUD,63.0,1
NCE-HKG,63.0,1
MRS-BER,62.0,1
MRS-AJA,62.0,1
BSL-MAN,62.0,1
NCE-KIV,62.0,1
RNS-LYS,62.0,1
LYS-RNS,62.0,1
PAR-KBV,62.0,1
PAR-OZZ,62.0,1
TLS-TUN,61.0,1
MPL-AMS,61.0,1
MRS-MEX,61.0,1
NTE-ALC,61.0,1
NCE-KRK,61.0,1
NCE-FLN,61.0,1
SXB-DTT,61.0,1
BOD-VIE,60.0,1
BSL-OPO,60.0,1
NCE-VIE,60.0,1
NCE-MIR,60.0,1
TLS-TYO,60.0,1
MPL-MUC,60.0,1
LIL-NCE,60.0,1
NCE-LUX,60.0,1
SXB-BOD,59.0,1
PAR-BWI,59.0,1
BOD-BKK,59.0,1
MRS-LAX,59.0,1
LYS-EBB,59.0,1
TLS-SVQ,58.0,1
LYS-CFR,58.0,1
BSL-MPL,57.0,1
BES-LIS,57.0,1
MRS-KRK,57.0,1
PAR-TPE,57.0,1
TLS-BES,57.0,1
NCE-TLL,56.0,1
NTE-YMQ,56.0,1
NTE-TNG,56.0,1
NCE-ATH,56.0,1
TLS-RNS,56.0,1
PAR-MPM,56.0,1
TLS-CHI,56.0,1
TLS-AGA,55.0,1
MRS-REK,55.0,1
PAR-BRE,55.0,1
TLS-SCL,55.0,1
TLS-ZRH,55.0,1
PAR-LLA,55.0,1
PAR-OSA,54.0,1
PAR-BUR,54.0,1
BSL-HAM,54.0,1
BSL-TCI,54.0,1
NTE-NYC,54.0,1
PUF-LYS,54.0,1
NTE-SLP,54.0,1
NCE-DUB,54.0,1
BOD-DXB,54.0,1
RNS-REK,54.0,1
DCM-DUB,54.0,1
PAR-JED,53.0,1
NCE-STO,53.0,1
MRS-ALC,53.0,1
PAR-LOS,53.0,1
